tmdbId,title,genres,info,tmdburl,rating_count,rating_avg,poster_path,year,trailer_url
8274,American Pie Presents: Band Camp,Comedy,"Everyone has 'moved on', except for Sherman and Jim Levenstein's still understanding father. Little Matt Stiffler wants to join his older brother Steve's business and, after everything Matt has heard from Jim's band-geek wife, he plans to go back to band camp and make a video of his own.",https://www.themoviedb.org/movie/8274,2045,5.468,https://image.tmdb.org/t/p/original/6BgKeWEGROpWwEWvpw7vwfTCr9C.jpg,2005,https://www.youtube.com/watch?v=rSXb-9fkWFs
21506,Noroi: The Curse,"Horror, Mystery, Thriller","A documentary filmmaker explores seemingly unrelated paranormal incidents connected by the legend of an ancient demon called the ""kagutaba.""",https://www.themoviedb.org/movie/21506,314,6.865,https://image.tmdb.org/t/p/original/vA7uZSMx8VL6LIuNFPnymwkRPBV.jpg,2005,https://www.youtube.com/watch?v=ixVC1LYEMbM
10027,Unleashed,"Action, Crime","Raised as a slave, Danny is used to fighting for his survival. In fact, his ""master,"" Bart, thinks of him as a pet and goes as far as leashing him with a collar so they can make money in fight clubs, where Danny is the main contender. When Bart's crew is in a car accident, Danny escapes and meets a blind, kindhearted piano tuner who takes him in and uses music to free the fighter's long-buried heart.",https://www.themoviedb.org/movie/10027,1954,6.921,https://image.tmdb.org/t/p/original/gghvmS3UxtOw1UHIgYjpeZNxHil.jpg,2005,https://www.youtube.com/watch?v=AoBkHA7-I84
1635,The Island,"Action, Thriller, Science Fiction, Adventure","In 2019, Lincoln Six-Echo is a resident of a seemingly ""Utopian"" but contained facility. Like all of the inhabitants of this carefully-controlled environment, Lincoln hopes to be chosen to go to The Island — reportedly the last uncontaminated location on the planet. But Lincoln soon discovers that everything about his existence is a lie.",https://www.themoviedb.org/movie/1635,5305,6.676,https://image.tmdb.org/t/p/original/n4HyHxnKCJG8SbqeLEK1nU5JbIR.jpg,2005,https://www.youtube.com/watch?v=pZsDzeJh4nU
16456,The Crow: Wicked Prayer,"Action, Horror, Fantasy","After ex-con Jimmy and his girlfriend are brutally murdered by a biker gang, he is resurrected by the power of The Crow to avenge their deaths and reunite with her in the afterlife.",https://www.themoviedb.org/movie/16456,206,3.782,https://image.tmdb.org/t/p/original/l6TfZVVzvrlGjxDlZK3CoHwaccc.jpg,2005,
1640,Crash,Drama,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",https://www.themoviedb.org/movie/1640,3416,7.218,https://image.tmdb.org/t/p/original/86BdPC6RDX88NC880pLidKn2LCj.jpg,2005,https://www.youtube.com/watch?v=dgepOrbliX4
14199,The Adventures of Sharkboy and Lavagirl,"Adventure, Family, Science Fiction","Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",https://www.themoviedb.org/movie/14199,1476,5.176,https://image.tmdb.org/t/p/original/wyXPANZMYYbKh8Ic8qFLqMkolyV.jpg,2005,https://www.youtube.com/watch?v=mJP65NQwII8
8488,Hitch,"Comedy, Drama, Romance","Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",https://www.themoviedb.org/movie/8488,5688,6.562,https://image.tmdb.org/t/p/original/x3W9H3nhGQbWSlyI8Amp2F6Z6cz.jpg,2005,https://www.youtube.com/watch?v=dMaq_pfxs-0
11459,Sky High,"Adventure, Comedy, Family","Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",https://www.themoviedb.org/movie/11459,2267,6.238,https://image.tmdb.org/t/p/original/oK54M9VKOCLR1u0j26ttRix0G18.jpg,2005,https://www.youtube.com/watch?v=G7aMWVN1ThM
2652,Hard Candy,"Drama, Thriller","Hayley’s a smart, charming teenage girl. Jeff’s a handsome, smooth fashion photographer. An Internet chat, a coffee shop meet-up, an impromptu fashion shoot back at Jeff’s place. Jeff thinks it’s his lucky night. He’s in for a surprise.",https://www.themoviedb.org/movie/2652,2517,6.824,https://image.tmdb.org/t/p/original/uHTmlcivbPeclEdmtuQg3zOQWPS.jpg,2005,https://www.youtube.com/watch?v=hvx0m2SeOSk
4442,The Brothers Grimm,"Adventure, Fantasy, Action, Comedy, Thriller","Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",https://www.themoviedb.org/movie/4442,2702,5.838,https://image.tmdb.org/t/p/original/v6J7QGCSrtvwvqAt6783BbO3h61.jpg,2005,https://www.youtube.com/watch?v=ohxNxVlk2GQ
1656,The Legend of Zorro,"Action, Adventure, Western","Having spent the last 10 years fighting injustice and cruelty, Alejandro de la Vega is now facing his greatest challenge: his loving wife Elena has thrown him out of the house!  Elena has filed for divorce and found comfort in the arms of Count Armand, a dashing French aristocrat.  But Alejandro knows something she doesn't: Armand is the evil mastermind behind a terrorist plot to destroy the United States.  And so, with his marriage and the county's future at stake, it's up to Zorro to save two unions before it's too late.",https://www.themoviedb.org/movie/1656,2835,6.123,https://image.tmdb.org/t/p/original/4ZSuSuWco0aCyKv8xD8X8VSaFs4.jpg,2005,https://www.youtube.com/watch?v=gs19Vnl8M3E
11679,xXx: State of the Union,"Action, Adventure, Crime, Mystery, Thriller",Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,https://www.themoviedb.org/movie/11679,1814,5.041,https://image.tmdb.org/t/p/original/jFDsnFmlZaYyRL2uN8ZrMfZoeCe.jpg,2005,https://www.youtube.com/watch?v=TS8Pl4tsJGQ
16320,Serenity,"Science Fiction, Action, Adventure, Thriller","When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",https://www.themoviedb.org/movie/16320,3441,7.373,https://image.tmdb.org/t/p/original/4sqUOaPFoP2W81mq1UYqZqf5WzA.jpg,2005,https://www.youtube.com/watch?v=zybHB2V27G8
6957,The 40 Year Old Virgin,"Comedy, Romance","Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.",https://www.themoviedb.org/movie/6957,6597,6.402,https://image.tmdb.org/t/p/original/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,2005,https://www.youtube.com/watch?v=YnDeJn-BX5Q
7553,Waiting...,"Comedy, Romance","Employees at a Bennigan's-like restaurant (called, creatively enough, Shenanigan's), kill time before their real lives get started. But while they wait, they'll have to deal with picky customers who want their steak cooked to order and enthusiastic managers who want to build the perfect wait staff. Luckily, these employees have effective revenge tactics.",https://www.themoviedb.org/movie/7553,832,6.278,https://image.tmdb.org/t/p/original/h3NJDiaaliUH35ApXPu8PFKZwWz.jpg,2005,https://www.youtube.com/watch?v=HJEsNjH3JT8
10033,Just Friends,"Comedy, Romance","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with – a woman whose rejection of him turned him into a ferocious womanizer.",https://www.themoviedb.org/movie/10033,1573,6.185,https://image.tmdb.org/t/p/original/jgs2mdFlx8NJzbxXTHeQxvQbN6n.jpg,2005,https://www.youtube.com/watch?v=vIBBVzy5UoQ
